Id,SalePrice
1461,117047.62653150859
1462,152873.91710964005
1463,180019.66376858292
1464,200510.82841514237
1465,200534.16579819444
1466,169310.74922215487
1467,183894.4339974494
1468,159536.80979897024
1469,196718.41439269247
1470,117784.10194905454
1471,189959.85686094098
1472,99086.12019649571
1473,93758.92667377864
1474,147308.86619206183
1475,111261.86689931656
1476,351724.1258448115
1477,245239.12577836917
1478,291843.9924305902
1479,293848.05669513106
1480,457200.735274127
1481,327840.6286730225
1482,213522.17468379444
1483,180597.40518171876
1484,162514.64075429726
1485,193866.60460598426
1486,196282.0039229436
1487,334182.9202810411
1488,240055.17790329232
1489,191163.9590901611
1490,241127.57756866765
1491,194570.16258406857
1492,91065.42814700388
1493,190084.1787681162
1494,286535.82118176966
1495,289374.4865945172
1496,235245.43440035507
1497,182317.5175787706
1498,167038.17452102163
1499,163167.48156612832
1500,157094.2956271069
1501,172966.88901087135
1502,147044.83678183972
1503,284159.5269158546
1504,245689.3143026283
1505,227663.22610517076
1506,189661.28206745596
1507,247072.1295755293
1508,200580.71980849616
1509,165319.54885029147
1510,143746.3548399557
1511,149380.43202700705
1512,179235.23280500498
1513,154295.75435428083
1514,151864.15568872742
1515,196411.65421435508
1516,155222.10977473875
1517,171392.63913201407
1518,129402.1038366726
1519,208484.1108953051
1520,126143.84146608716
1521,128971.4040906856
1522,181742.31759394106
1523,111169.25627521677
1524,126236.07389578407
1525,120331.43111754482
1526,110534.48790724095
1527,106858.6663141539
1528,144738.6437265875
1529,148886.85680736176
1530,195916.9258986383
1531,107567.22704543662
1532,97374.57113280125
1533,142576.87689042345
1534,127128.19358339728
1535,148237.641895225
1536,109571.50954451242
1537,59347.73341628753
1538,148177.72636658786
1539,195009.41552663245
1540,97776.36625107595
1541,136408.13971068183
1542,136231.79499408795
1543,176353.31329510707
1544,87005.58423492195
1545,114685.31567572318
1546,135632.55738544534
1547,126075.49398104007
1548,139129.4956208217
1549,119859.33077355813
1550,132006.95302125442
1551,105980.52463680715
1552,133589.9686614869
1553,149474.58395049296
1554,119432.1618054279
1555,150240.74562914122
1556,87722.21655435248
1557,109185.22331933111
1558,100734.99896690152
1559,65819.79697160015
1560,136890.0174741961
1561,125627.38173645416
1562,130460.09780205275
1563,119144.83000120366
1564,154127.29931669298
1565,144876.77945364537
1566,239101.19182665693
1567,76050.21682249993
1568,231271.03291339538
1569,117876.10567157094
1570,140494.201224791
1571,118446.2935023902
1572,140306.96895239392
1573,228966.44997528414
1574,121162.14291282269
1575,230226.97083236946
1576,253692.0107882893
1577,178229.14080780177
1578,148989.63476702885
1579,139630.54623631362
1580,193950.013649375
1581,160098.9930575601
1582,125130.85903681579
1583,281929.90788265277
1584,218032.35105546235
1585,135798.90752271848
1586,64806.85784802165
1587,103741.59251610983
1588,151498.84891211838
1589,97915.30597790609
1590,131831.79626449838
1591,90860.09850170974
1592,112274.43119351914
1593,125446.08296893373
1594,127133.39309748638
1595,107263.51670827623
1596,221069.9829781267
1597,192665.55514397752
1598,232337.24675994602
1599,168381.8402005291
1600,157700.3263307856
1601,64650.48404534104
1602,117551.29926273327
1603,73630.18359321452
1604,255311.2653585074
1605,242485.57513883122
1606,169751.43088583188
1607,174778.18577891053
1608,216699.18876684725
1609,180765.55325485455
1610,149388.4683985557
1611,137057.9189066387
1612,170619.71496614558
1613,163922.04679315726
1614,129553.07827821445
1615,96556.30647691168
1616,80344.79557465114
1617,95117.27682596674
1618,124590.16887211427
1619,140869.5442979538
1620,150044.9439096089
1621,135608.9399866297
1622,143228.42206909452
1623,262029.358807578
1624,211319.3763750009
1625,116670.57771087607
1626,170595.3393847678
1627,191535.0327989325
1628,284501.4568027603
1629,180902.93561847307
1630,335155.0155943612
1631,227852.73683619808
1632,240743.7488516657
1633,177399.95981545676
1634,185174.69255546603
1635,172410.87676784373
1636,154096.0141737408
1637,201834.7093176551
1638,179948.33001105787
1639,194807.36023077482
1640,256283.9304121652
1641,184107.34690301583
1642,241225.72639326382
1643,213046.17292716805
1644,236551.3934897106
1645,203771.8951756033
1646,162550.91811526436
1647,160876.20606076813
1648,131157.27568839528
1649,139475.85995441515
1650,113013.13165009583
1651,123396.45088884431
1652,97781.80961027641
1653,101214.14520575159
1654,142243.01654573844
1655,133186.06712904247
1656,138807.26611184876
1657,143136.69528504732
1658,143809.75939979922
1659,116484.9498713503
1660,155355.21331163385
1661,413472.60162196285
1662,400470.9306012455
1663,364921.9986134112
1664,479274.30077824346
1665,305327.2565250979
1666,332389.4061989129
1667,393596.2744408623
1668,341340.40414666245
1669,313254.73957909044
1670,345556.906887137
1671,260642.37481792594
1672,408116.82010206557
1673,287729.16621722426
1674,240858.23994935417
1675,196980.65913648217
1676,196948.49224239055
1677,218942.7205281967
1678,432282.68433281593
1679,383447.2215327
1680,321557.931146014
1681,247194.64954493212
1682,318532.10463800887
1683,186559.92884838927
1684,171774.39726251506
1685,173824.39242018238
1686,169633.59975219372
1687,176534.84466367232
1688,191057.8584979075
1689,197093.32472331522
1690,197213.6687249735
1691,187423.1970379963
1692,267780.8177595182
1693,169454.64893427023
1694,183355.89202737148
1695,169025.3705711414
1696,267534.4824657261
1697,176993.63284347614
1698,341183.8539743079
1699,300146.0147384517
1700,255093.43724461022
1701,271566.2879558795
1702,235015.26321865772
1703,237103.6686187767
1704,274213.9170588225
1705,243064.24795244
1706,371241.39604359615
1707,213242.95858160785
1708,201460.77316116256
1709,260287.66025078943
1710,218144.11104713287
1711,273124.1329086321
1712,248034.11893072748
1713,276257.64024520566
1714,226899.83646275595
